,index,Time,Open,High,Low,Close
68,136,2013-03-18 17:00:00 EDT-0400,1.25819,1.26096,1.25641,1.25731
69,138,2013-03-19 17:00:00 EDT-0400,1.25732,1.26404,1.25602,1.26144
70,140,2013-03-20 17:00:00 EDT-0400,1.26152,1.26303,1.25042,1.25530
71,142,2013-03-21 17:00:00 EDT-0400,1.25536,1.25619,1.24975,1.24976
72,144,2013-03-24 17:00:00 EDT-0400,1.25113,1.25368,1.25009,1.25325
73,146,2013-03-25 17:00:00 EDT-0400,1.25326,1.25543,1.24854,1.24886
74,148,2013-03-26 17:00:00 EDT-0400,1.24892,1.25028,1.24668,1.24834
75,150,2013-03-27 17:00:00 EDT-0400,1.24832,1.24950,1.24301,1.24428
76,152,2013-03-28 17:00:00 EDT-0400,1.24432,1.24663,1.24279,1.24460
77,154,2013-03-31 17:00:00 EDT-0400,1.24592,1.24623,1.24298,1.24526
78,156,2013-04-01 17:00:00 EDT-0400,1.24530,1.24708,1.23964,1.24150
79,158,2013-04-02 17:00:00 EDT-0400,1.24142,1.24490,1.24096,1.24263
80,160,2013-04-03 17:00:00 EDT-0400,1.24266,1.24612,1.23819,1.23886
81,162,2013-04-04 17:00:00 EDT-0400,1.23883,1.24152,1.23102,1.23226
82,164,2013-04-07 17:00:00 EDT-0400,1.23210,1.23418,1.22854,1.23063
83,166,2013-04-08 17:00:00 EDT-0400,1.23064,1.23526,1.22738,1.23032
84,168,2013-04-09 17:00:00 EDT-0400,1.23032,1.23274,1.22839,1.22924
85,170,2013-04-10 17:00:00 EDT-0400,1.22938,1.22993,1.21836,1.22153
86,172,2013-04-11 17:00:00 EDT-0400,1.22168,1.22676,1.21990,1.22347
87,174,2013-04-12 17:00:00 EDT-0400,1.22346,1.22346,1.22346,1.22346
88,176,2013-04-14 17:00:00 EDT-0400,1.22594,1.23110,1.22424,1.22668
89,178,2013-04-15 17:00:00 EDT-0400,1.22671,1.22715,1.22042,1.22354
90,180,2013-04-16 17:00:00 EDT-0400,1.22352,1.22592,1.21762,1.21943
91,182,2013-04-17 17:00:00 EDT-0400,1.21952,1.22466,1.21768,1.22443
92,184,2013-04-18 17:00:00 EDT-0400,1.22443,1.22514,1.21962,1.22060
93,186,2013-04-21 17:00:00 EDT-0400,1.22360,1.22401,1.21627,1.21948
94,188,2013-04-22 17:00:00 EDT-0400,1.21952,1.22343,1.21749,1.22194
95,190,2013-04-23 17:00:00 EDT-0400,1.22183,1.22205,1.21120,1.21332
96,192,2013-04-24 17:00:00 EDT-0400,1.21362,1.21366,1.20696,1.21073
97,194,2013-04-25 17:00:00 EDT-0400,1.21062,1.21352,1.20528,1.21156
98,196,2013-04-28 17:00:00 EDT-0400,1.21192,1.21241,1.20756,1.20818
99,198,2013-04-29 17:00:00 EDT-0400,1.20830,1.21144,1.20606,1.21100
100,200,2013-04-30 17:00:00 EDT-0400,1.21050,1.21315,1.20705,1.20913
101,202,2013-05-01 17:00:00 EDT-0400,1.20918,1.21004,1.20520,1.20632
102,204,2013-05-02 17:00:00 EDT-0400,1.20638,1.20942,1.20268,1.20903
103,206,2013-05-05 17:00:00 EDT-0400,1.20756,1.20808,1.20128,1.20420
104,208,2013-05-06 17:00:00 EDT-0400,1.20432,1.20588,1.19585,1.20428
105,210,2013-05-07 17:00:00 EDT-0400,1.20448,1.21674,1.20225,1.21046
106,212,2013-05-08 17:00:00 EDT-0400,1.21072,1.21200,1.20150,1.20262
107,214,2013-05-09 17:00:00 EDT-0400,1.20233,1.20858,1.19912,1.20735
108,216,2013-05-12 17:00:00 EDT-0400,1.20736,1.20904,1.20176,1.20629
109,218,2013-05-13 17:00:00 EDT-0400,1.20672,1.20799,1.20189,1.20652
110,220,2013-05-14 17:00:00 EDT-0400,1.20690,1.20739,1.20042,1.20126
111,222,2013-05-15 17:00:00 EDT-0400,1.20093,1.20532,1.19614,1.20191
112,224,2013-05-16 17:00:00 EDT-0400,1.20198,1.20772,1.20020,1.20645
113,226,2013-05-19 17:00:00 EDT-0400,1.20590,1.20608,1.19892,1.20010
114,228,2013-05-20 17:00:00 EDT-0400,1.20063,1.20282,1.19747,1.19988
115,230,2013-05-21 17:00:00 EDT-0400,1.20014,1.20213,1.19650,1.20071
116,232,2013-05-22 17:00:00 EDT-0400,1.20100,1.20275,1.19454,1.19829
117,234,2013-05-23 17:00:00 EDT-0400,1.19847,1.19989,1.19194,1.19257
118,236,2013-05-26 17:00:00 EDT-0400,1.19030,1.19392,1.18938,1.19181
119,238,2013-05-27 17:00:00 EDT-0400,1.19257,1.19434,1.18904,1.19056
120,240,2013-05-28 17:00:00 EDT-0400,1.19067,1.19067,1.18183,1.18935
121,242,2013-05-29 17:00:00 EDT-0400,1.19002,1.19876,1.18492,1.19655
122,244,2013-05-30 17:00:00 EDT-0400,1.19585,1.20648,1.19088,1.20542
123,246,2013-06-02 17:00:00 EDT-0400,1.20682,1.21014,1.20386,1.20769
124,248,2013-06-03 17:00:00 EDT-0400,1.20790,1.20805,1.20234,1.20350
125,250,2013-06-04 17:00:00 EDT-0400,1.20364,1.20436,1.19402,1.19702
126,252,2013-06-05 17:00:00 EDT-0400,1.19748,1.19872,1.19110,1.19553
127,254,2013-06-06 17:00:00 EDT-0400,1.19567,1.20565,1.19051,1.20457
128,256,2013-06-09 17:00:00 EDT-0400,1.20206,1.20278,1.19490,1.19745
129,258,2013-06-10 17:00:00 EDT-0400,1.19734,1.20323,1.19342,1.19765
130,260,2013-06-11 17:00:00 EDT-0400,1.19792,1.20182,1.18636,1.18648
131,262,2013-06-12 17:00:00 EDT-0400,1.18678,1.19946,1.18647,1.19022
132,264,2013-06-13 17:00:00 EDT-0400,1.18997,1.19284,1.18631,1.18914
133,266,2013-06-16 17:00:00 EDT-0400,1.18763,1.19593,1.18642,1.19438
134,268,2013-06-17 17:00:00 EDT-0400,1.19442,1.19573,1.18256,1.18711
135,270,2013-06-18 17:00:00 EDT-0400,1.18760,1.18884,1.17566,1.17669
136,272,2013-06-19 17:00:00 EDT-0400,1.17689,1.18996,1.17526,1.18579
137,274,2013-06-20 17:00:00 EDT-0400,1.18567,1.19319,1.18397,1.18906
138,276,2013-06-23 17:00:00 EDT-0400,1.18967,1.19706,1.18557,1.19299
139,278,2013-06-24 17:00:00 EDT-0400,1.19320,1.19832,1.19150,1.19597
140,280,2013-06-25 17:00:00 EDT-0400,1.19623,1.19866,1.18830,1.19067
141,282,2013-06-26 17:00:00 EDT-0400,1.19080,1.19548,1.18748,1.19018
142,284,2013-06-27 17:00:00 EDT-0400,1.18995,1.19146,1.17976,1.18102
143,286,2013-06-30 17:00:00 EDT-0400,1.18108,1.18350,1.17921,1.18118
144,288,2013-07-01 17:00:00 EDT-0400,1.18128,1.18287,1.17641,1.17980
145,290,2013-07-02 17:00:00 EDT-0400,1.17968,1.18128,1.16530,1.16782
146,292,2013-07-03 17:00:00 EDT-0400,1.16784,1.17249,1.16554,1.16769
147,294,2013-07-04 17:00:00 EDT-0400,1.16768,1.17898,1.16669,1.17625
148,296,2013-07-07 17:00:00 EDT-0400,1.17562,1.17584,1.16774,1.17083
149,298,2013-07-08 17:00:00 EDT-0400,1.17067,1.17172,1.16480,1.16875
150,300,2013-07-09 17:00:00 EDT-0400,1.16895,1.17480,1.16540,1.17025
151,302,2013-07-10 17:00:00 EDT-0400,1.17042,1.17520,1.16403,1.16992
152,304,2013-07-11 17:00:00 EDT-0400,1.17003,1.17118,1.15864,1.16317
153,306,2013-07-14 17:00:00 EDT-0400,1.16462,1.17088,1.16271,1.16520
154,308,2013-07-15 17:00:00 EDT-0400,1.16531,1.17386,1.16356,1.17217
155,310,2013-07-16 17:00:00 EDT-0400,1.17235,1.17342,1.16566,1.16769
156,312,2013-07-17 17:00:00 EDT-0400,1.16779,1.16888,1.15987,1.16065
157,314,2013-07-18 17:00:00 EDT-0400,1.16050,1.16357,1.15422,1.15697
158,316,2013-07-21 17:00:00 EDT-0400,1.16212,1.16409,1.15865,1.16088
159,318,2013-07-22 17:00:00 EDT-0400,1.16110,1.16272,1.15731,1.16242
160,320,2013-07-23 17:00:00 EDT-0400,1.16174,1.16450,1.15308,1.15462
161,322,2013-07-24 17:00:00 EDT-0400,1.15430,1.15958,1.13968,1.14418
162,324,2013-07-25 17:00:00 EDT-0400,1.14429,1.14948,1.14336,1.14613
163,326,2013-07-28 17:00:00 EDT-0400,1.14577,1.14820,1.14314,1.14580
164,328,2013-07-29 17:00:00 EDT-0400,1.14591,1.14692,1.13345,1.13476
165,330,2013-07-30 17:00:00 EDT-0400,1.13487,1.13567,1.12374,1.12484
166,332,2013-07-31 17:00:00 EDT-0400,1.12486,1.13563,1.11985,1.13108
167,334,2013-08-01 17:00:00 EDT-0400,1.13123,1.13968,1.12628,1.13666
168,336,2013-08-04 17:00:00 EDT-0400,1.15028,1.15103,1.13934,1.14124
169,338,2013-08-05 17:00:00 EDT-0400,1.14125,1.14518,1.13500,1.13741
170,340,2013-08-06 17:00:00 EDT-0400,1.13740,1.13893,1.12669,1.12880
171,342,2013-08-07 17:00:00 EDT-0400,1.12882,1.14076,1.12833,1.13678
172,344,2013-08-08 17:00:00 EDT-0400,1.13674,1.14454,1.13574,1.14448
173,346,2013-08-11 17:00:00 EDT-0400,1.14401,1.14614,1.14058,1.14188
174,348,2013-08-12 17:00:00 EDT-0400,1.14188,1.14518,1.14010,1.14404
175,350,2013-08-13 17:00:00 EDT-0400,1.14460,1.14460,1.13518,1.13600
176,352,2013-08-14 17:00:00 EDT-0400,1.13623,1.13930,1.13058,1.13244
177,354,2013-08-15 17:00:00 EDT-0400,1.13232,1.13782,1.12767,1.13344
178,356,2013-08-18 17:00:00 EDT-0400,1.13238,1.13578,1.12661,1.12894
179,358,2013-08-19 17:00:00 EDT-0400,1.12907,1.13912,1.12907,1.13680
